unique_id,date,address,geometry,corporatiewoning,lat,long
gmb-2024-28033,16-01-2024,"Woestduinstraat 136-2, Amsterdam, Netherlands",POINT (4.8474773 52.350199),yes,5848656.107022106,-190591.56685665518
gmb-2024-28046,16-01-2024,"Palestrinastraat 28-2, Amsterdam, Netherlands",POINT (4.87594 52.3562393),yes,5849051.861414233,-188566.19023882365
gmb-2024-26539,16-01-2024,"Geldersekade 11-3, Amsterdam, Netherlands",POINT (4.9025315 52.3757196),yes,5850955.172875157,-186458.21684067987
gmb-2024-26546,16-01-2024,"Polanenstraat 65, Amsterdam, Netherlands",POINT (4.8775437 52.3891503),yes,5852682.213351337,-187941.9072512337
gmb-2024-26578,16-01-2024,"Tichelstraat 26-H, Amsterdam, Netherlands",POINT (4.8808209 52.3787206),yes,5851495.451573164,-187883.13329651754
gmb-2024-26515,16-01-2024,"Zoomstraat 11, Amsterdam, Netherlands",POINT (4.8925332 52.3438618),yes,5847521.710856346,-187634.2535741434
gmb-2024-28023,16-01-2024,"Amstel 180-3, Amsterdam, Netherlands",POINT (4.8994583 52.366692),yes,5849984.510778008,-186807.6650737743
gmb-2024-26560,16-01-2024,"Rhijnvis Feithstraat 44-2, Amsterdam, Netherlands",POINT (4.8595881 52.3598884),yes,5849613.033658343,-189618.0245824149
gmb-2024-26573,16-01-2024,"Ribesstraat 22, Amsterdam, Netherlands",POINT (4.9154685 52.3937114),yes,5852824.642638746,-185300.32207518863
gmb-2024-28030,16-01-2024,"Ceintuurbaan 213-2, Amsterdam, Netherlands",POINT (4.9022695 52.3553255),yes,5848698.460604535,-186794.6076693181
